期別,開獎日期,兌獎截止日,第一區_開出順序,第一區_大小順序,第二區,第1球,第2球,第3球,第4球,第5球,第6球,銷售總金額,總獎金,頭獎中獎人數,頭獎單注獎金
113000115,2024-05-13,2024-08-13,36 14 04 33 37,04 14 33 36 37,,4,14,33,36,37,,39501200,26618500,0,0
113000116,2024-05-14,2024-08-14,07 22 18 11 20,07 11 18 20 22,,7,11,18,20,22,,35920550,11274850,0,0
113000117,2024-05-15,2024-08-15,33 04 26 14 06,04 06 14 26 33,,4,6,14,26,33,,39644150,18085700,0,0
113000118,2024-05-16,2024-08-16,21 33 35 10 09,09 10 21 33 35,,9,10,21,33,35,,35762850,10004550,0,0
113000119,2024-05-17,2024-08-19,27 19 30 38 14,14 19 27 30 38,,14,19,27,30,38,,36852150,27125600,0,0
113000120,2024-05-18,2024-08-19,37 11 32 05 10,05 10 11 32 37,,5,10,11,32,37,,38136000,34900650,0,0
113000121,2024-05-20,2024-08-20,32 05 03 34 28,03 05 28 32 34,,3,5,28,32,34,,40517850,10591250,0,0
113000122,2024-05-21,2024-08-21,16 24 01 03 31,01 03 16 24 31,,1,3,16,24,31,,33881650,9426950,0,0
113000123,2024-05-22,2024-08-22,29 15 13 23 11,11 13 15 23 29,,11,13,15,23,29,,37457250,20340700,0,0
113000124,2024-05-23,2024-08-23,23 34 26 14 27,14 23 26 27 34,,14,23,26,27,34,,34542700,8529500,0,0
113000125,2024-05-24,2024-08-26,39 05 16 22 26,05 16 22 26 39,,5,16,22,26,39,,35220150,16305150,0,0
113000126,2024-05-25,2024-08-26,34 15 38 32 01,01 15 32 34 38,,1,15,32,34,38,,37165400,23793100,0,0
113000127,2024-05-27,2024-08-27,24 17 14 13 05,05 13 14 17 24,,5,13,14,17,24,,37776500,26074250,0,0
113000128,2024-05-28,2024-08-28,36 29 23 39 16,16 23 29 36 39,,16,23,29,36,39,,32540800,8223100,0,0
113000129,2024-05-29,2024-08-29,09 32 01 07 20,01 07 09 20 32,,1,7,9,20,32,,37321450,10002450,0,0
113000130,2024-05-30,2024-08-30,37 32 02 36 09,02 09 32 36 37,,2,9,32,36,37,,34151300,6818450,0,0
113000131,2024-05-31,2024-09-02,12 08 36 23 13,08 12 13 23 36,,8,12,13,23,36,,35071800,19192750,0,0
113000132,2024-06-01,2024-09-02,20 24 04 28 38,04 20 24 28 38,,4,20,24,28,38,,35964000,9673050,0,0
113000133,2024-06-03,2024-09-03,10 21 31 06 24,06 10 21 24 31,,6,10,21,24,31,,37406800,35551050,0,0
113000134,2024-06-04,2024-09-04,17 25 23 11 07,07 11 17 23 25,,7,11,17,23,25,,33750200,20554900,0,0
113000135,2024-06-05,2024-09-05,04 06 20 03 14,03 04 06 14 20,,3,4,6,14,20,,35907800,10481900,0,0
113000136,2024-06-06,2024-09-06,03 21 11 36 20,03 11 20 21 36,,3,11,20,21,36,,33997350,15695800,0,0
113000137,2024-06-07,2024-09-10,35 27 34 01 04,01 04 27 34 35,,1,4,27,34,35,,36707500,26540250,0,0
113000138,2024-06-08,2024-09-10,11 24 19 31 32,11 19 24 31 32,,11,19,24,31,32,,38640250,16955950,0,0
113000139,2024-06-10,2024-09-10,38 33 19 18 30,18 19 30 33 38,,18,19,30,33,38,,39412050,37436500,0,0
113000140,2024-06-11,2024-09-11,13 26 34 03 32,03 13 26 32 34,,3,13,26,32,34,,34209700,8431800,0,0
113000141,2024-06-12,2024-09-12,14 32 29 19 20,14 19 20 29 32,,14,19,20,29,32,,37425000,15862650,0,0
113000142,2024-06-13,2024-09-13,17 38 03 12 30,03 12 17 30 38,,3,12,17,30,38,,34037650,17118550,0,0
113000143,2024-06-14,2024-09-16,20 01 17 02 37,01 02 17 20 37,,1,2,17,20,37,,34781350,16754350,0,0
113000144,2024-06-15,2024-09-16,05 35 37 08 36,05 08 35 36 37,,5,8,35,36,37,,37576800,29228450,0,0
113000145,2024-06-17,2024-09-18,08 32 34 26 02,02 08 26 32 34,,2,8,26,32,34,,38569900,8665600,0,0
113000146,2024-06-18,2024-09-18,02 38 15 29 09,02 09 15 29 38,,2,9,15,29,38,,33332550,8314200,0,0
113000147,2024-06-19,2024-09-19,11 10 14 22 02,02 10 11 14 22,,2,10,11,14,22,,36352550,27096700,0,0
113000148,2024-06-20,2024-09-20,20 13 16 12 32,12 13 16 20 32,,12,13,16,20,32,,33564700,21385600,0,0
113000149,2024-06-21,2024-09-23,15 16 12 10 23,10 12 15 16 23,,10,12,15,16,23,,34979500,25325150,0,0
113000150,2024-06-22,2024-09-23,22 01 25 27 21,01 21 22 25 27,,1,21,22,25,27,,36126100,11809750,0,0
113000151,2024-06-24,2024-09-24,32 39 13 17 03,03 13 17 32 39,,3,13,17,32,39,,36398250,18076700,0,0
113000152,2024-06-25,2024-09-25,37 26 36 32 25,25 26 32 36 37,,25,26,32,36,37,,32378400,23719850,0,0
113000153,2024-06-26,2024-09-26,38 21 02 39 37,02 21 37 38 39,,2,21,37,38,39,,36289300,17124600,0,0
113000154,2024-06-27,2024-09-27,18 31 27 15 28,15 18 27 28 31,,15,18,27,28,31,,33293200,9345750,0,0
113000155,2024-06-28,2024-09-30,25 39 27 16 12,12 16 25 27 39,,12,16,25,27,39,,34336450,16163850,0,0
113000156,2024-06-29,2024-09-30,35 17 33 02 26,02 17 26 33 35,,2,17,26,33,35,,35737850,11083450,0,0
113000157,2024-07-01,2024-10-01,11 19 17 08 23,08 11 17 19 23,,8,11,17,19,23,,37384150,12179300,0,0
113000158,2024-07-02,2024-10-02,16 22 03 20 15,03 15 16 20 22,,3,15,16,20,22,,33458750,9083450,0,0
113000159,2024-07-03,2024-10-03,04 25 33 34 20,04 20 25 33 34,,4,20,25,33,34,,36580300,8690350,0,0
113000160,2024-07-04,2024-10-04,12 09 33 26 15,09 12 15 26 33,,9,12,15,26,33,,33182300,15826500,0,0
113000161,2024-07-05,2024-10-07,24 23 17 18 28,17 18 23 24 28,,17,18,23,24,28,,34715300,9836200,0,0
113000162,2024-07-06,2024-10-07,04 21 24 33 35,04 21 24 33 35,,4,21,24,33,35,,36466750,16006050,0,0
113000163,2024-07-08,2024-10-08,17 29 22 11 20,11 17 20 22 29,,11,17,20,22,29,,36899400,11427750,0,0
113000164,2024-07-09,2024-10-09,13 02 33 36 31,02 13 31 33 36,,2,13,31,33,36,,33265550,8582650,0,0
113000165,2024-07-10,2024-10-11,09 33 14 31 01,01 09 14 31 33,,1,9,14,31,33,,36920650,7828450,0,0
113000166,2024-07-11,2024-10-11,02 37 23 13 01,01 02 13 23 37,,1,2,13,23,37,,35245250,16945550,0,0
113000167,2024-07-12,2024-10-14,18 08 17 36 19,08 17 18 19 36,,8,17,18,19,36,,34947450,25676200,0,0
113000168,2024-07-13,2024-10-14,21 16 29 23 30,16 21 23 29 30,,16,21,23,29,30,,36617800,32909700,0,0
113000169,2024-07-15,2024-10-15,37 25 19 01 22,01 19 22 25 37,,1,19,22,25,37,,37425950,32520700,0,0
113000170,2024-07-16,2024-10-16,07 26 34 36 24,07 24 26 34 36,,7,24,26,34,36,,33173100,9595150,0,0
113000171,2024-07-17,2024-10-17,37 28 10 08 26,08 10 26 28 37,,8,10,26,28,37,,35885300,17264250,0,0
113000172,2024-07-18,2024-10-18,05 17 24 33 34,05 17 24 33 34,,5,17,24,33,34,,32748500,32297300,0,0
113000173,2024-07-19,2024-10-21,24 14 30 36 19,14 19 24 30 36,,14,19,24,30,36,,34271650,16053450,0,0
113000174,2024-07-20,2024-10-21,11 01 29 27 31,01 11 27 29 31,,1,11,27,29,31,,35867800,11962700,0,0
113000175,2024-07-22,2024-10-22,26 34 20 06 30,06 20 26 30 34,,6,20,26,30,34,,37539150,25062900,0,0
113000176,2024-07-23,2024-10-23,12 37 38 07 11,07 11 12 37 38,,7,11,12,37,38,,32084550,25856200,0,0
113000177,2024-07-24,2024-10-24,02 34 23 21 03,02 03 21 23 34,,2,3,21,23,34,,23770050,23439100,0,0
113000178,2024-07-25,2024-10-25,01 18 39 09 17,01 09 17 18 39,,1,9,17,18,39,,21356650,7288500,0,0
113000179,2024-07-26,2024-10-28,36 12 18 20 11,11 12 18 20 36,,11,12,18,20,36,,29992900,15777950,0,0
113000180,2024-07-27,2024-10-28,15 18 11 01 37,01 11 15 18 37,,1,11,15,18,37,,36782950,24721450,0,0
113000181,2024-07-29,2024-10-29,30 12 14 01 24,01 12 14 24 30,,1,12,14,24,30,,37907150,10030050,0,0
113000182,2024-07-30,2024-10-30,29 16 38 04 02,02 04 16 29 38,,2,4,16,29,38,,32379500,25225150,0,0
113000183,2024-07-31,2024-10-31,36 12 18 37 38,12 18 36 37 38,,12,18,36,37,38,,35509450,17249550,0,0
113000184,2024-08-01,2024-11-01,24 30 27 35 12,12 24 27 30 35,,12,24,27,30,35,,34011850,8423300,0,0
113000185,2024-08-02,2024-11-04,24 22 38 01 19,01 19 22 24 38,,1,19,22,24,38,,34701950,7680650,0,0
113000186,2024-08-03,2024-11-04,27 26 11 12 32,11 12 26 27 32,,11,12,26,27,32,,36576800,9978600,0,0
113000187,2024-08-05,2024-11-05,36 06 17 11 07,06 07 11 17 36,,6,7,11,17,36,,38771200,11506500,0,0
113000188,2024-08-06,2024-11-06,29 37 06 01 12,01 06 12 29 37,,1,6,12,29,37,,33909550,19316250,0,0
113000189,2024-08-07,2024-11-07,16 19 04 30 05,04 05 16 19 30,,4,5,16,19,30,,38372550,9941200,0,0
113000190,2024-08-08,2024-11-08,09 13 28 19 02,02 09 13 19 28,,2,9,13,19,28,,35609400,26347450,0,0
113000191,2024-08-09,2024-11-11,07 10 02 12 08,02 07 08 10 12,,2,7,8,10,12,,34942300,38581550,0,0
113000192,2024-08-10,2024-11-11,38 39 21 01 28,01 21 28 38 39,,1,21,28,38,39,,37491250,35674050,0,0
113000193,2024-08-12,2024-11-12,34 24 12 28 08,08 12 24 28 34,,8,12,24,28,34,,39334450,11188600,0,0
113000194,2024-08-13,2024-11-13,20 28 32 15 09,09 15 20 28 32,,9,15,20,28,32,,34468100,16969850,0,0
113000195,2024-08-14,2024-11-14,24 30 34 06 09,06 09 24 30 34,,6,9,24,30,34,,36627400,16333800,0,0
113000196,2024-08-15,2024-11-15,07 27 20 14 39,07 14 20 27 39,,7,14,20,27,39,,33386450,8820150,0,0
113000197,2024-08-16,2024-11-18,32 09 18 17 35,09 17 18 32 35,,9,17,18,32,35,,34562550,8575450,0,0
113000198,2024-08-17,2024-11-18,32 14 33 36 06,06 14 32 33 36,,6,14,32,33,36,,36915950,24073900,0,0
113000199,2024-08-19,2024-11-19,36 12 02 09 16,02 09 12 16 36,,2,9,12,16,36,,36764350,17669050,0,0
113000200,2024-08-20,2024-11-20,34 07 28 39 30,07 28 30 34 39,,7,28,30,34,39,,32551500,8037650,0,0
113000201,2024-08-21,2024-11-21,02 01 12 13 22,01 02 12 13 22,,1,2,12,13,22,,37118100,20008250,0,0
113000202,2024-08-22,2024-11-22,16 37 34 08 02,02 08 16 34 37,,2,8,16,34,37,,34049950,16470850,0,0
113000203,2024-08-23,2024-11-25,30 11 34 09 39,09 11 30 34 39,,9,11,30,34,39,,34456850,33151400,0,0
113000204,2024-08-24,2024-11-25,25 26 37 29 28,25 26 28 29 37,,25,26,28,29,37,,36264650,26747400,0,0
113000205,2024-08-26,2024-11-26,23 33 09 05 11,05 09 11 23 33,,5,9,11,23,33,,38184050,11277000,0,0
113000206,2024-08-27,2024-11-27,34 35 05 13 21,05 13 21 34 35,,5,13,21,34,35,,33707200,7407850,0,0
113000207,2024-08-28,2024-11-28,36 34 06 35 16,06 16 34 35 36,,6,16,34,35,36,,36414850,24252100,0,0
113000208,2024-08-29,2024-11-29,36 04 26 29 21,04 21 26 29 36,,4,21,26,29,36,,32902750,7531300,0,0
113000209,2024-08-30,2024-12-02,22 03 36 14 05,03 05 14 22 36,,3,5,14,22,36,,34052950,7954600,0,0
