期別,開獎日期,兌獎截止日,第一區_開出順序,第一區_大小順序,第二區,第1球,第2球,第3球,第4球,第5球,第6球,銷售總金額,總獎金,頭獎中獎人數,頭獎單注獎金,貳獎中獎人數,貳獎單注獎金
113000001,2024-01-02,2024-04-02,04 18 21 14 38 36,04 14 18 21 36 38,01,4,14,18,21,36,38,94153750,52726100,0,0,0,0
113000002,2024-01-05,2024-04-08,47 30 02 20 35 23,02 20 23 30 35 47,40,2,20,23,30,35,47,101273350,79020651,0,0,1,3477159
113000003,2024-01-09,2024-04-09,44 31 37 12 29 49,12 29 31 37 44 49,03,12,29,31,37,44,49,104402400,102331060,0,0,0,0
113000004,2024-01-12,2024-04-15,29 42 46 38 04 25,04 25 29 38 42 46,06,4,25,29,38,42,46,104749750,127937062,0,0,1,3805099
113000005,2024-01-16,2024-04-16,21 01 03 40 20 36,01 03 20 21 36 40,44,1,3,20,21,36,40,104587000,150437239,1,116293465,0,0
113000006,2024-01-19,2024-04-22,01 19 46 31 07 03,01 03 07 19 31 46,40,1,3,7,19,31,46,102906750,59563903,0,0,2,1901369
113000007,2024-01-23,2024-04-23,17 02 27 26 47 14,02 14 17 26 27 47,04,2,14,17,26,27,47,92997300,75626575,0,0,2,782518
113000008,2024-01-26,2024-04-29,46 02 20 34 47 11,02 11 20 34 46 47,40,2,11,20,34,46,47,102419000,100646267,0,0,0,0
113000009,2024-01-30,2024-04-30,40 19 30 38 07 45,07 19 30 38 40 45,27,7,19,30,38,40,45,106791850,130009363,0,0,1,3921649
113000010,2024-02-02,2024-05-06,39 25 09 38 35 05,05 09 25 35 38 39,24,5,9,25,35,38,39,108994850,153801864,0,0,1,1717268
113000011,2024-02-06,2024-05-06,23 26 19 40 14 34,14 19 23 26 34 40,05,14,19,23,26,34,40,215438650,235074395,0,0,3,1263024
113000012,2024-02-07,2024-05-14,31 20 22 37 35 34,20 22 31 34 35 37,07,20,22,31,34,35,37,147109300,244610583,0,0,4,660708
113000013,2024-02-08,2024-05-14,39 08 25 31 47 05,05 08 25 31 39 47,22,5,8,25,31,39,47,183653950,298415973,0,0,0,0
113000014,2024-02-09,2024-05-14,03 30 16 20 07 25,03 07 16 20 25 30,37,3,7,16,20,25,30,289130550,401638006,0,0,4,2004787
113000015,2024-02-10,2024-05-14,13 28 11 06 05 34,05 06 11 13 28 34,04,5,6,11,13,28,34,311420200,471129718,2,178835988,9,536713
113000016,2024-02-11,2024-05-14,23 13 29 45 11 44,11 13 23 29 44 45,27,11,13,23,29,44,45,271083500,189871373,1,100000000,3,1636504
113000017,2024-02-12,2024-05-14,22 46 37 47 49 16,16 22 37 46 47 49,04,16,22,37,46,47,49,248903050,139385708,0,0,2,2348044
113000018,2024-02-13,2024-05-14,39 06 03 47 44 02,02 03 06 39 44 47,34,2,3,6,39,44,47,190351800,165839964,0,0,1,3553186
113000019,2024-02-14,2024-05-14,39 12 26 19 07 32,07 12 19 26 32 39,44,7,12,19,26,32,39,272001450,256388582,1,164711535,2,2403563
113000020,2024-02-15,2024-05-15,18 08 19 20 04 33,04 08 18 19 20 33,03,4,8,18,19,20,33,197336000,171467009,1,100000000,2,1547362
113000021,2024-02-16,2024-05-20,24 45 43 42 33 19,19 24 33 42 43 45,16,19,24,33,42,43,45,188302250,105449260,0,0,1,3667914
113000022,2024-02-17,2024-05-20,40 27 04 20 32 05,04 05 20 27 32 40,06,4,5,20,27,32,40,164832950,138578609,0,0,1,2838969
113000023,2024-02-18,2024-05-20,36 32 44 12 24 06,06 12 24 32 36 44,45,6,12,24,32,36,44,151708250,167043467,2,58522141,1,2771016
113000024,2024-02-19,2024-05-20,02 48 17 32 38 10,02 10 17 32 38 48,08,2,10,17,32,38,48,148157600,152790571,1,100000000,0,0
113000025,2024-02-20,2024-05-20,17 27 08 34 46 06,06 08 17 27 34 46,25,6,8,17,27,34,46,156102700,89809645,0,0,1,5023015
113000026,2024-02-21,2024-05-21,25 31 43 27 21 13,13 21 25 27 31 43,47,13,21,25,27,31,43,138635750,110825611,0,0,2,1300338
113000027,2024-02-22,2024-05-22,18 09 31 46 39 11,09 11 18 31 39 46,05,9,11,18,31,39,46,136989650,142712339,0,0,2,1143330
113000028,2024-02-23,2024-05-27,03 49 08 09 34 21,03 08 09 21 34 49,22,3,8,9,21,34,49,154793450,181529578,0,0,3,866487
113000029,2024-02-24,2024-05-27,21 08 48 46 27 15,08 15 21 27 46 48,31,8,15,21,27,46,48,140742000,206453986,0,0,1,2570900
113000030,2024-02-27,2024-05-28,42 15 07 41 17 29,07 15 17 29 41 42,28,7,15,17,29,41,42,114267850,224061364,0,0,0,0
113000031,2024-03-01,2024-06-03,30 47 01 29 39 46,01 29 30 39 46 47,17,1,29,30,39,46,47,119882400,253875867,0,0,0,0
113000032,2024-03-05,2024-06-05,10 26 15 38 24 21,10 15 21 24 26 38,37,10,15,21,24,26,38,134655600,293647375,0,0,0,0
113000033,2024-03-08,2024-06-11,40 26 29 27 07 36,07 26 27 29 36 40,32,7,26,27,29,36,40,132588250,323049182,0,0,1,8983680
113000034,2024-03-12,2024-06-12,22 03 49 45 27 13,03 13 22 27 45 49,17,3,13,22,27,45,49,147291700,355887325,1,307781613,1,2725056
113000035,2024-03-15,2024-06-17,37 43 18 40 33 08,08 18 33 37 40 43,31,8,18,33,37,40,43,102625750,57470420,0,0,1,1893646
113000036,2024-03-19,2024-06-19,21 19 36 14 08 20,08 14 19 20 21 36,28,8,14,19,20,21,36,102852250,81486336,0,0,0,0
113000037,2024-03-22,2024-06-24,48 04 38 40 41 16,04 16 38 40 41 48,35,4,16,38,40,41,48,100908850,102875314,0,0,1,3532607
113000038,2024-03-26,2024-06-26,06 21 46 19 32 29,06 19 21 29 32 46,11,6,19,21,29,32,46,98682250,123716344,0,0,0,0
113000039,2024-03-29,2024-07-01,13 03 43 15 48 02,02 03 13 15 43 48,01,2,3,13,15,43,48,98140150,146424590,0,0,2,1713020
113000040,2024-04-02,2024-08-06,46 49 38 39 27 32,27 32 38 39 46 49,24,27,32,38,39,46,49,102237750,168928265,0,0,0,0
113000041,2024-04-05,2024-08-06,04 31 48 38 40 35,04 31 35 38 40 48,18,4,31,35,38,40,48,101158800,194780189,0,0,0,0
113000042,2024-04-09,2024-08-06,22 26 03 17 16 19,03 16 17 19 22 26,01,3,16,17,19,22,26,110857850,226819825,1,183596227,1,5701062
113000043,2024-04-12,2024-08-06,17 15 05 03 39 12,03 05 12 15 17 39,24,3,5,12,15,17,39,94916950,135374177,1,100000000,1,1409335
113000044,2024-04-16,2024-08-06,08 40 33 05 17 35,05 08 17 33 35 40,10,5,8,17,33,35,40,93796550,133269461,1,100000000,0,0
113000045,2024-04-19,2024-08-06,16 10 46 07 31 22,07 10 16 22 31 46,42,7,10,16,22,31,46,91260750,52632458,0,0,0,0
113000046,2024-04-23,2024-08-06,33 36 17 13 14 32,13 14 17 32 33 36,31,13,14,17,32,33,36,94533100,77416581,0,0,0,0
113000047,2024-04-26,2024-08-06,34 26 21 22 33 13,13 21 22 26 33 34,35,13,21,22,26,33,34,84931000,96238256,0,0,5,1309299
113000048,2024-04-30,2024-08-06,22 43 33 03 13 09,03 09 13 22 33 43,14,3,9,13,22,33,43,92697000,115240326,0,0,0,0
113000049,2024-05-03,2024-08-06,12 06 39 11 22 34,06 11 12 22 34 39,42,6,11,12,22,34,39,96929350,139223486,0,0,0,0
113000050,2024-05-07,2024-08-07,07 28 09 33 15 30,07 09 15 28 30 33,26,7,9,15,28,30,33,100900750,162874413,0,0,1,4668297
113000051,2024-05-10,2024-08-12,41 30 38 35 19 15,15 19 30 35 38 41,25,15,19,30,35,38,41,102782150,179780389,0,0,0,0
113000052,2024-05-14,2024-08-14,06 10 25 07 32 43,06 07 10 25 32 43,33,6,7,10,25,32,43,106732550,208214281,0,0,0,0
113000053,2024-05-17,2024-08-19,15 33 41 40 34 49,15 33 34 40 41 49,27,15,33,34,40,41,49,111092700,236082215,1,197423717,4,1490270
113000054,2024-05-21,2024-08-21,42 30 34 35 38 01,01 30 34 35 38 42,15,1,30,34,35,38,42,130416000,142464377,1,100000000,2,1211559
113000055,2024-05-24,2024-08-26,23 40 28 04 30 24,04 23 24 28 30 40,41,4,23,24,28,30,40,136105000,76218800,0,0,1,2493738
113000056,2024-05-28,2024-08-28,17 12 33 18 37 21,12 17 18 21 33 37,09,12,17,18,21,33,37,135385400,150072233,1,100000000,0,0
113000057,2024-05-31,2024-09-02,16 23 32 14 08 19,08 14 16 19 23 32,49,8,14,16,19,23,32,135756750,78064430,0,0,1,4320601
113000058,2024-06-04,2024-09-04,07 35 33 46 34 30,07 30 33 34 35 46,49,7,30,33,34,35,46,132858100,103163003,0,0,1,2405944
