期別,開獎日期,兌獎截止日,第一區_開出順序,第一區_大小順序,第二區,第1球,第2球,第3球,第4球,第5球,第6球,銷售總金額,總獎金,頭獎中獎人數,頭獎單注獎金,貳獎中獎人數,貳獎單注獎金
113000001,2024-01-01,2024-04-01,28 16 35 17 11 18,11 16 17 18 28 35,04,11,16,17,18,28,35,55550700,30552885,0,0,2,1116620
113000002,2024-01-04,2024-04-08,03 24 12 06 02 28,02 03 06 12 24 28,05,2,3,6,12,24,28,64923400,53776814,0,0,0,0
113000003,2024-01-08,2024-04-08,29 16 20 03 33 01,01 03 16 20 29 33,01,1,3,16,20,29,33,70106200,77441623,0,0,0,0
113000004,2024-01-11,2024-04-11,16 34 10 22 17 04,04 10 16 17 22 34,05,4,10,16,17,22,34,66086300,98945887,0,0,0,0
113000005,2024-01-15,2024-04-15,10 15 21 35 29 27,10 15 21 27 29 35,08,10,15,21,27,29,35,68574100,121727541,0,0,1,9874303
113000006,2024-01-18,2024-04-18,14 04 06 31 34 02,02 04 06 14 31 34,03,2,4,6,14,31,34,65073400,133751407,0,0,1,2418291
113000007,2024-01-22,2024-04-22,27 12 09 17 31 14,09 12 14 17 27 31,06,9,12,14,17,27,31,66303300,216439933,1,200000000,0,0
113000008,2024-01-25,2024-04-25,17 11 03 26 29 10,03 10 11 17 26 29,01,3,10,11,17,26,29,58108800,34435072,0,0,0,0
113000009,2024-01-29,2024-04-29,25 15 32 06 36 22,06 15 22 25 32 36,03,6,15,22,25,32,36,68305000,59959821,0,0,1,7304560
113000010,2024-02-01,2024-05-02,13 21 25 04 29 23,04 13 21 23 25 29,07,4,13,21,23,25,29,64931600,74786040,0,0,1,2415234
113000011,2024-02-05,2024-05-06,01 30 21 16 18 38,01 16 18 21 30 38,06,1,16,18,21,30,38,84036400,304835125,0,0,0,0
113000012,2024-02-08,2024-05-14,10 15 20 24 34 25,10 15 20 24 25 34,02,10,15,20,24,25,34,87108900,335985419,0,0,1,6529986
